DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,NA,,,,111781,7/3/13 0:00,1,1,1,,,,,,
,,NA,,,,104165,6/12/06 0:00,1,1,1,,,,,,
,,NA,,,,103865,8/31/06 0:00,72.8,57.3,64.6,,,,,,
,,NA,,,,111402,8/22/12 0:00,70.3,45.7,56.7,,,,,,
,,NA,,,,98146,6/6/07 0:00,22.6,41.7,30.7,,,,,,
,,NA,,,,96893,8/28/13 0:00,62,140,93.2,,,,,,
,,NA,,,,112517,8/3/12 0:00,13.4,13.2,13.3,,,,,,
,,NA,,,,105378,7/14/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,102729,5/26/06 0:00,166.4,23.1,62,,,,,,
,,NA,,,,110423,7/7/14 0:00,34,20,26.1,,,,,,
,,NA,,,,110758,8/10/12 0:00,517.2,387.2,447.5,,,,,,
,,NA,,,,107340,7/2/12 0:00,19.7,35,26.3,,,,,,
,,NA,,,,103274,7/27/06 0:00,30.9,24.6,27.6,,,,,,
,,NA,,,,96052,8/2/11 0:00,1,218.1,14.8,,,,,,
,,NA,,,,106442,6/20/12 0:00,8.4,22.3,13.7,,,,,,
,,NA,,,,103209,6/1/06 0:00,95.9,107.6,101.6,,,,,,
,,NA,,,,97003,8/25/11 0:00,9.8,27.9,16.5,,,,,,
,,NA,,,,104060,6/7/06 0:00,24.6,9.8,15.5,,,,,,
,,NA,,,,103300,7/28/06 0:00,1203.3,1986.3,1546,,,,,,
,,NA,,,,98366,8/18/06 0:00,275.5,435,346.2,,,,,,
,,NA,,,,110468,7/9/14 0:00,9,11,9.9,,,,,,
,,NA,,,,107808,7/24/14 0:00,14,10,11.8,,,,,,
,,NA,,,,99913,5/14/09 0:00,1,3.1,1.8,,,,,,
,,NA,,,,104564,6/14/06 0:00,33.6,32.7,33.1,,,,,,
,,NA,,,,108051,8/19/13 0:00,184,248,213.6,,,,,,
,,NA,,,,103924,5/29/07 0:00,0,4.1,,,,,,,
,,NA,,,,107037,7/31/13 0:00,45,47,46,,,,,,
,,NA,,,,109342,8/12/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,110781,8/11/12 0:00,18.3,17.1,17.7,,,,,,
,,NA,,,,103326,7/29/06 0:00,45.7,48.7,47.2,,,,,,
,,NA,,,,102681,5/24/06 0:00,6.3,121.1,27.6,,,,,,
,,NA,,,,103743,6/19/06 0:00,2,2,2,,,,,,
,,NA,,,,109704,7/2/14 0:00,17,15,16,,,,,,
,,NA,,,,99888,5/13/09 0:00,44.3,18.7,28.8,,,,,,
,,NA,,,,109387,8/14/13 0:00,107,204,147.7,,,,,,
,,NA,,,,97500,8/31/11 0:00,517.2,387.3,447.6,,,,,,
,,NA,,,,96929,8/29/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,106649,6/23/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,103806,6/21/06 0:00,4.1,4.1,4.1,,,,,,
,,NA,,,,109989,7/9/12 0:00,7.2,2,3.8,,,,,,
,,NA,,,,98695,6/15/07 0:00,5.2,7.5,6.2,,,,,,
,,NA,,,,109726,7/3/14 0:00,4,1,2,,,,,,
,,NA,,,,112334,6/15/14 0:00,260,131,184.6,,,,,,
,,NA,,,,96871,8/27/13 0:00,249,19,68.8,,,,,,
,,NA,,,,96118,8/5/11 0:00,209.8,461.1,311,,,,,,
,,NA,,,,104472,6/1/07 0:00,0,0,,,,,,,
,,NA,,,,106163,7/26/13 0:00,1,1,1,,,,,,
,,NA,,,,105819,6/15/12 0:00,107.1,61.3,81,,,,,,
,,NA,,,,109429,8/21/13 0:00,68,139,97.2,,,,,,
,,NA,,,,106486,6/22/12 0:00,1553.1,980.4,1234,,,,,,
,,NA,,,,104281,6/28/06 0:00,344.8,98.7,184.5,,,,,,
,,NA,,,,109430,8/21/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,92936,8/12/14 0:00,34,23,28,,,,,,
,,NA,,,,106764,6/23/12 0:00,19.7,19.9,19.8,,,,,,
,,NA,,,,112497,7/19/13 0:00,13,15,14,,,,,,
,,NA,,,,97412,8/27/11 0:00,95.9,106.7,101.2,,,,,,
,,NA,,,,112609,8/7/12 0:00,21.3,20.1,20.7,,,,,,
,,NA,,,,104084,6/8/06 0:00,1,1,1,,,,,,
,,NA,,,,105596,7/1/13 0:00,1,1,1,,,,,,
,,NA,,,,106131,7/24/13 0:00,93,248,151.9,,,,,,
,,NA,,,,107898,8/7/13 0:00,488,184,299.7,,,,,,
,,NA,,,,110645,7/31/12 0:00,325.5,313,319.2,,,,,,
,,NA,,,,96514,7/13/11 0:00,9.6,2,4.4,,,,,,
,,NA,,,,96848,8/26/13 0:00,206,42,93,,,,,,
,,NA,,,,110668,8/1/12 0:00,111.2,209.8,152.7,,,,,,
,,NA,,,,104449,5/31/07 0:00,0,0,,,,,,,
,,NA,,,,96338,8/15/11 0:00,1,285.1,16.9,,,,,,
,,NA,,,,103600,6/2/06 0:00,115.3,118.7,117,,,,,,
,,NA,,,,106808,6/25/12 0:00,,1,,,,,,,
,,NA,,,,110446,7/8/14 0:00,5,13,8.1,,,,,,
,,NA,,,,109742,8/17/11 0:00,261.3,307.6,283.5,,,,,,
,,NA,,,,108794,7/26/14 0:00,308,184,238.1,,,,,,
,,NA,,,,109307,8/11/13 0:00,1553,1203,1366.8,,,,,,
,,NA,,,,102657,5/23/06 0:00,13.4,8.5,10.7,,,,,,
,,NA,,,,98123,6/5/07 0:00,0,0,,,,,,,
,,NA,,,,104386,8/3/06 0:00,275.5,107.6,172.2,,,,,,
,,NA,,,,97699,7/30/11 0:00,727,42,174.7,,,,,,
,,NA,,,,107393,7/20/12 0:00,1,1,1,,,,,,
,,NA,,,,106241,7/29/13 0:00,62,115,84.4,,,,,,
,,NA,,,,97882,7/5/06 0:00,,1,,,,,,,
,,NA,,,,107060,8/1/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,96536,7/14/11 0:00,1,1,1,,,,,,
,,NA,,,,97906,7/7/06 0:00,2419.6,2419.6,2419.6,,,,,,
,,NA,,,,103585,6/2/06 0:00,9.8,5.2,7.1,,,,,,
,,NA,,,,98650,6/13/07 0:00,1,2,1.4,,,,,,
,,NA,,,,93254,8/21/14 0:00,84,86,85,,,,,,
,,NA,,,,103815,6/22/06 0:00,77.6,77.1,77.3,,,,,,
,,NA,,,,110936,6/18/14 0:00,39,40,39.5,,,,,,
,,NA,,,,110712,8/8/12 0:00,2,2,2,,,,,,
,,NA,,,,103886,9/1/06 0:00,135.4,122.3,128.7,,,,,,
,,NA,,,,107025,7/31/13 0:00,152,75,106.8,,,,,,
,,NA,,,,102870,7/25/06 0:00,39.1,83.9,57.3,,,,,,
,,NA,,,,93620,8/28/14 0:00,5,1,2.2,,,,,,
,,NA,,,,96930,8/29/13 0:00,250,291,269.7,,,,,,
,,NA,,,,112431,7/16/13 0:00,2,10,4.5,,,,,,
,,NA,,,,103176,5/30/06 0:00,1,1,1,,,,,,
,,NA,,,,107985,8/16/13 0:00,36,51,42.8,,,,,,
,,NA,,,,109786,8/19/11 0:00,648.8,365.4,486.9,,,,,,
,,NA,,,,90274,6/28/11 0:00,9.8,24.6,15.5,,,,,,
,,NA,,,,103455,8/29/06 0:00,156.5,182.9,169.2,,,,,,
,,NA,,,,109971,8/5/14 0:00,687,727,706.7,,,,,,
,,NA,,,,97054,7/24/12 0:00,866.4,980.4,921.6,,,,,,
,,NA,,,,93455,8/25/14 0:00,28,22,24.8,,,,,,
,,NA,,,,96096,8/4/11 0:00,686.7,167,338.6,,,,,,
,,NA,,,,109441,8/22/13 0:00,1,1,1,,,,,,
,,NA,,,,96272,8/12/11 0:00,1,1,1,,,,,,
,,NA,,,,93188,8/18/14 0:00,1,1,1,,,,,,
,,NA,,,,104747,7/3/06 0:00,0,0,,,,,,,
,,NA,,,,109682,7/1/14 0:00,770,921,842.1,,,,,,
,,NA,,,,106852,6/27/12 0:00,21.3,10.9,15.2,,,,,,
,,NA,,,,92715,8/8/14 0:00,2,4,2.8,,,,,,
,,NA,,,,110622,7/30/12 0:00,54.5,88,69.3,,,,,,
,,NA,,,,110033,7/11/12 0:00,41.4,52,46.4,,,,,,
,,NA,,,,103767,6/20/06 0:00,2,40.2,9,,,,,,
,,NA,,,,105054,8/13/12 0:00,387.3,410.6,398.8,,,,,,
,,NA,,,,108726,7/16/12 0:00,24.3,21.3,22.8,,,,,,
,,NA,,,,103200,5/31/06 0:00,1,1,1,,,,,,
,,NA,,,,98065,8/14/06 0:00,41.4,37.3,39.3,,,,,,
,,NA,,,,107178,6/2/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,92671,8/6/14 0:00,19,31,24.3,,,,,,
,,NA,,,,106660,6/24/14 0:00,3,1,1.7,,,,,,
,,NA,,,,106119,7/24/13 0:00,3,2,2.4,,,,,,
,,NA,,,,111274,6/27/13 0:00,35,14,22.1,,,,,,
,,NA,,,,111379,8/21/12 0:00,6,4,4.9,,,,,,
,,NA,,,,109454,8/22/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,98076,8/15/06 0:00,325.5,290.9,307.7,,,,,,
,,NA,,,,110546,7/12/13 0:00,33,21,26.3,,,,,,
,,NA,,,,109808,8/20/11 0:00,5.2,6.3,5.7,,,,,,
,,NA,,,,103225,6/1/06 0:00,1,1,1,,,,,,
,,NA,,,,103657,6/5/06 0:00,1,1,1,,,,,,
,,NA,,,,107830,7/25/14 0:00,326,270,296.7,,,,,,
,,NA,,,,104290,6/29/06 0:00,1,4.1,2,,,,,,
,,NA,,,,110435,7/7/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,105300,7/11/14 0:00,8,17,11.7,,,,,,
,,NA,,,,97743,8/1/11 0:00,37.3,238.2,94.3,,,,,,
,,NA,,,,96690,7/21/11 0:00,1,1,1,,,,,,
,,NA,,,,96404,7/8/11 0:00,1,1,1,,,,,,
,,NA,,,,105077,8/14/12 0:00,148.3,191.8,168.7,,,,,,
,,NA,,,,109375,8/14/13 0:00,1046,291,551.7,,,,,,
,,NA,,,,109453,8/22/13 0:00,127,184,152.9,,,,,,
,,NA,,,,104411,8/4/06 0:00,118.8,137.6,127.9,,,,,,
,,NA,,,,96492,7/12/11 0:00,43.5,20.8,30.1,,,,,,
,,NA,,,,106830,6/26/12 0:00,10.8,36.4,19.8,,,,,,
,,NA,,,,109883,8/1/14 0:00,4,5,4.5,,,,,,
,,NA,,,,97522,9/1/11 0:00,1732.9,770.1,1155.2,,,,,,
,,NA,,,,109329,8/12/13 0:00,115,55,79.5,,,,,,
,,NA,,,,107764,7/22/14 0:00,1,4,2,,,,,,
,,NA,,,,111926,8/28/12 0:00,1,1,1,,,,,,
,,NA,,,,110055,7/12/12 0:00,36.4,43.2,39.7,,,,,,
,,NA,,,,98256,7/19/06 0:00,126.7,53.8,82.6,,,,,,
,,NA,,,,98510,6/22/07 0:00,16,41.4,25.7,,,,,,
,,NA,,,,111995,8/31/12 0:00,185,275.5,225.8,,,,,,
,,NA,,,,102844,7/24/06 0:00,101.9,686.7,264.5,,,,,,
,,NA,,,,93002,8/15/14 0:00,44,23,31.8,,,,,,
,,NA,,,,96360,8/16/11 0:00,648.8,325.5,459.5,,,,,,
,,NA,,,,104321,7/31/06 0:00,24.1,32.3,27.9,,,,,,
,,NA,,,,112032,9/2/11 0:00,156.5,104.3,127.8,,,,,,
,,NA,,,,98464,6/20/07 0:00,12.1,16.1,14,,,,,,
,,NA,,,,99889,5/13/09 0:00,16,33.6,23.2,,,,,,
,,NA,,,,96382,7/7/11 0:00,17.3,6.3,10.4,,,,,,
,,NA,,,,104193,6/23/06 0:00,242.7,166.4,201,,,,,,
,,NA,,,,105366,7/14/14 0:00,41,34,37.3,,,,,,
,,NA,,,,111230,6/25/13 0:00,1,1,1,,,,,,
,,NA,,,,107742,7/21/14 0:00,29,10,17,,,,,,
,,NA,,,,108860,7/29/14 0:00,57,78,66.7,,,,,,
,,NA,,,,93477,8/26/14 0:00,1,1,1,,,,,,
,,NA,,,,108882,7/30/14 0:00,44,39,41.4,,,,,,
,,NA,,,,97280,8/30/13 0:00,14,22,17.5,,,,,,
,,NA,,,,109465,8/23/13 0:00,23,10,15.2,,,,,,
,,NA,,,,103791,6/21/06 0:00,613.1,686.7,648.9,,,,,,
,,NA,,,,98604,6/11/07 0:00,1,5.2,2.3,,,,,,
,,NA,,,,103357,8/25/06 0:00,920.8,866.4,893.2,,,,,,
,,NA,,,,103840,8/30/06 0:00,178.5,184.2,181.3,,,,,,
,,NA,,,,96822,7/27/11 0:00,1,1,1,,,,,,
,,NA,,,,93210,8/19/14 0:00,140,122,130.7,,,,,,
,,NA,,,,105685,8/24/12 0:00,83.9,131.7,105.1,,,,,,
,,NA,,,,92914,8/11/14 0:00,30,28,29,,,,,,
,,NA,,,,93642,8/29/14 0:00,86,518,211.1,,,,,,
,,NA,,,,96250,8/11/11 0:00,1,1,1,,,,,,
,,NA,,,,107876,8/6/13 0:00,2420,108,511.2,,,,,,
,,NA,,,,110502,7/10/13 0:00,41,71,54,,,,,,
,,NA,,,,104862,8/7/06 0:00,12.1,6.3,8.7,,,,,,
,,NA,,,,96228,8/10/11 0:00,1,1,1,,,,,,
,,NA,,,,111891,7/8/13 0:00,1,1,1,,,,,,
,,NA,,,,109949,8/4/14 0:00,411,548,474.6,,,,,,
,,NA,,,,102744,5/26/06 0:00,1,1,1,,,,,,
,,NA,,,,106140,7/25/13 0:00,10,13,11.4,,,,,,
,,NA,,,,106464,6/21/12 0:00,25.3,17.3,20.9,,,,,,
,,NA,,,,105278,7/10/14 0:00,1,5,2.2,,,,,,
,,NA,,,,96778,7/25/11 0:00,410.6,139.6,239.4,,,,,,
,,NA,,,,102768,7/21/06 0:00,1,1,1,,,,,,
,,NA,,,,106682,6/25/14 0:00,3,1,1.7,,,,,,
,,NA,,,,105662,8/23/12 0:00,124.6,325.5,201.4,,,,,,
,,NA,,,,108063,8/19/13 0:00,727,1120,902.4,,,,,,
,,NA,,,,93389,8/22/14 0:00,579,435,501.9,,,,,,
,,NA,,,,98100,6/4/07 0:00,0,0,,,,,,,
,,NA,,,,96905,8/28/13 0:00,313,199,249.6,,,,,,
,,NA,,,,107093,8/3/13 0:00,219,133,170.7,,,,,,
,,NA,,,,103185,5/31/06 0:00,7.5,6.3,6.9,,,,,,
,,NA,,,,90252,6/27/11 0:00,146.7,117.8,131.5,,,,,,
,,NA,,,,90318,6/30/11 0:00,73.3,1,8.6,,,,,,
,,NA,,,,107934,8/8/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,107853,8/5/13 0:00,436,216,306.9,,,,,,
,,NA,,,,107371,7/19/12 0:00,122.4,238.2,170.8,,,,,,
,,NA,,,,104675,6/30/06 0:00,29.3,42.1,35.1,,,,,,
,,NA,,,,96140,8/6/11 0:00,143,214.2,175,,,,,,
,,NA,,,,96906,8/28/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,96206,8/9/11 0:00,6.3,32.3,14.3,,,,,,
,,NA,,,,112279,6/12/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,111972,8/30/12 0:00,154.1,307.6,217.7,,,,,,
,,NA,,,,109417,8/21/13 0:00,11,63,26.3,,,,,,
,,NA,,,,102951,8/23/06 0:00,184.2,127.4,153.2,,,,,,
,,NA,,,,104540,6/13/06 0:00,1,1,1,,,,,,
,,NA,,,,97456,8/29/11 0:00,209.8,156.5,181.2,,,,,,
,,NA,,,,110524,7/11/13 0:00,3,9,5.2,,,,,,
,,NA,,,,107048,8/1/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,96981,8/24/11 0:00,410.6,307.6,355.4,,,,,,
,,NA,,,,107910,8/7/13 0:00,2420,115,527.5,,,,,,
,,NA,,,,97897,7/5/06 0:00,,1,,,,,,,
,,NA,,,,108816,7/27/14 0:00,99,148,121,,,,,,
,,NA,,,,97655,7/28/11 0:00,2419.6,579.4,1184,,,,,,
,,NA,,,,90428,7/5/11 0:00,1,1,1,,,,,,
,,NA,,,,104887,8/8/06 0:00,143.9,37.9,73.8,,,,,,
,,NA,,,,104069,6/8/06 0:00,22.8,14.5,18.2,,,,,,
,,NA,,,,102929,8/22/06 0:00,71.2,88.4,79.3,,,,,,
,,NA,,,,112368,6/16/14 0:00,1414,1414,1414,,,,,,
,,NA,,,,104555,6/13/06 0:00,5.2,2,3.2,,,,,,
,,NA,,,,112475,7/18/13 0:00,31,60,43.1,,,,,,
,,NA,,,,112453,7/17/13 0:00,3,2,2.4,,,,,,
,,NA,,,,104627,6/16/06 0:00,0,0,,,,,,,
,,NA,,,,110980,6/20/14 0:00,3,8,4.9,,,,,,
,,NA,,,,93232,8/20/14 0:00,365,349,356.9,,,,,,
,,NA,,,,104588,6/15/06 0:00,5.2,8.5,6.6,,,,,,
,,NA,,,,98441,6/19/07 0:00,2,3.1,2.5,,,,,,
,,NA,,,,106152,7/25/13 0:00,43,91,62.6,,,,,,
,,NA,,,,98627,6/12/07 0:00,1,2,1.4,,,,,,
,,NA,,,,102976,8/24/06 0:00,83.3,71.7,77.3,,,,,,
,,NA,,,,108549,7/3/12 0:00,,1,,,,,,,
,,NA,,,,112312,6/14/14 0:00,365,133,220.3,,,,,,
,,NA,,,,112409,7/15/13 0:00,64,79,71.1,,,,,,
,,NA,,,,109764,8/18/11 0:00,88.2,498.4,209.7,,,,,,
,,NA,,,,104242,6/27/06 0:00,98.7,129.1,112.9,,,,,,
,,NA,,,,106229,7/29/13 0:00,114,649,272,,,,,,
,,NA,,,,96959,8/23/11 0:00,517.2,186,310.2,,,,,,
,,NA,,,,96074,8/3/11 0:00,1986.3,2419.6,2192.3,,,,,,
,,NA,,,,104912,8/9/06 0:00,12,8.4,10,,,,,,
,,NA,,,,103901,5/28/07 0:00,387.5,13.4,72.1,,,,,,
,,NA,,,,108064,8/19/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,104690,6/30/06 0:00,64.3,49.9,56.6,,,,,,
,,NA,,,,110691,8/2/12 0:00,50.4,41.4,45.7,,,,,,
,,NA,,,,110077,7/13/12 0:00,25.9,38.8,31.7,,,,,,
,,NA,,,,98025,8/11/06 0:00,184.2,137.4,159.1,,,,,,
,,NA,,,,98764,6/18/07 0:00,4.1,6.3,5.1,,,,,,
,,NA,,,,92958,8/13/14 0:00,70,68,69,,,,,,
,,NA,,,,104426,5/30/07 0:00,7.3,3.1,4.8,,,,,,
,,NA,,,,112290,6/13/14 0:00,687,548,613.6,,,,,,
,,NA,,,,108615,7/6/12 0:00,13.2,17.1,15,,,,,,
,,NA,,,,103705,6/7/06 0:00,435.2,387.3,410.6,,,,,,
,,NA,,,,107945,8/9/13 0:00,1046,461,694.4,,,,,,
,,NA,,,,112356,6/16/14 0:00,24,33,28.1,,,,,,
,,NA,,,,106420,6/19/12 0:00,11,7.5,9.1,,,,,,
,,NA,,,,104666,6/29/06 0:00,137.6,93.3,113.3,,,,,,
,,NA,,,,104603,6/15/06 0:00,1,1,1,,,,,,
,,NA,,,,96470,7/11/11 0:00,1,2,1.4,,,,,,
,,NA,,,,97677,7/29/11 0:00,2419.6,1986.3,2192.3,,,,,,
,,NA,,,,110011,7/10/12 0:00,31.8,24.3,27.8,,,,,,
,,NA,,,,112379,6/17/14 0:00,15,10,12.2,,,,,,
,,NA,,,,96624,7/18/11 0:00,1,21.8,4.7,,,,,,
,,NA,,,,111825,7/5/13 0:00,57,62,59.4,,,,,,
,,NA,,,,104208,6/23/06 0:00,1,1,1,,,,,,
,,NA,,,,107726,8/14/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,110958,6/19/14 0:00,15,7,10.2,,,,,,
,,NA,,,,96860,8/26/13 0:00,2420,1733,2047.9,,,,,,
,,NA,,,,110735,8/9/12 0:00,7.5,4.1,5.5,,,,,,
,,NA,,,,108770,7/18/12 0:00,70.3,83.3,76.5,,,,,,
,,NA,,,,104348,8/1/06 0:00,272.3,365.4,315.4,,,,,,
,,NA,,,,109861,7/31/14 0:00,1,2,1.4,,,,,,
,,NA,,,,104180,6/12/06 0:00,3,2,2.4,,,,,,
,,NA,,,,109659,6/30/14 0:00,8,13,10.2,,,,,,
,,NA,,,,112586,8/6/12 0:00,16,38.4,24.8,,,,,,
,,NA,,,,97025,8/26/11 0:00,1119.9,816.4,956.2,,,,,,
,,NA,,,,111730,5/28/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,97076,7/25/12 0:00,36.8,25.9,30.9,,,,,,
,,NA,,,,96184,8/8/11 0:00,1553.1,1986.3,1756.4,,,,,,
,,NA,,,,109852,8/22/11 0:00,4.1,3.1,3.6,,,,,,
,,NA,,,,102912,8/22/06 0:00,101.7,159.7,127.4,,,,,,
,,NA,,,,103681,6/6/06 0:00,21.3,24.1,22.7,,,,,,
,,NA,,,,106637,6/23/14 0:00,45,32,37.9,,,,,,
,,NA,,,,109671,6/30/14 0:00,2420,2420,2420,,,,,,
,,NA,,,,107865,8/5/13 0:00,770,238,428.1,,,,,,
,,NA,,,,104218,6/26/06 0:00,410.6,344.8,376.3,,,,,,
,,NA,,,,105100,8/15/12 0:00,260.3,203.5,230.2,,,,,,
,,NA,,,,107252,6/28/12 0:00,15.6,22.6,18.8,,,,,,
,,NA,,,,107786,7/23/14 0:00,88,115,100.6,,,,,,
,,NA,,,,107071,8/2/13 0:00,2420,2420,2420,,,,,,
,,NA,,,,108838,7/28/14 0:00,214,32,82.8,,,,,,
,,NA,,,,111356,8/20/12 0:00,9.8,12.2,10.9,,,,,,
,,NA,,,,109353,8/13/13 0:00,1,,1,,,,,,
,,NA,,,,97948,7/10/06 0:00,248.1,25.9,80.2,,,,,,
,,NA,,,,92693,8/7/14 0:00,291,53,124.2,,,,,,
,,NA,,,,90450,7/6/11 0:00,34.1,23.1,28.1,,,,,,
,,NA,,,,109341,8/12/13 0:00,2420,249,776.3,,,,,,
,,NA,,,,96558,7/15/11 0:00,24.9,1,5,,,,,,
,,NA,,,,102888,8/21/06 0:00,461.1,127.4,242.4,,,,,,
,,NA,,,,96800,7/26/11 0:00,75.9,85.7,80.7,,,,,,
,,NA,,,,102705,5/25/06 0:00,98.7,83.3,90.7,,,,,,
,,NA,,,,104579,6/14/06 0:00,1,1,1,,,,,,
,,NA,,,,107459,7/23/12 0:00,45.5,32.3,38.3,,,,,,
,,NA,,,,102720,5/25/06 0:00,1,1,1,,,,,,
